68,BD+15 2940,"Flags(timated magU', 'Estimated magL', 'Estimated magM')",System('BD+15 2940'),K0,7.1 Gyr,K,0,III,4796.0 K,14.7 R_s,,1.1 M_s,0.28,"['HIP 78407', 'TYC 1503-1050-1', 'SAO 101867', '2MASS J16002294+1532491', 'Gaia DR2 1193071962699902336']",10.32,10.12,6.664,NaN,7.154,6.525,9.05,7.03,7.1,,508.0 pc,NaN,240d05m44.074s,15d32m48.9291s,System('BD+15 2940'),[Planet('BD+15 2940 b')],[]
943,HD 94834,"Flags(timated magU', 'Estimated magL', 'Estimated magM', 'Estimated magB')",System('HD 94834'),K0,,K,0,III,4798.0 K,4.2 R_s,,1.11 M_s,NaN,"['HIP 53545', 'TYC 1978-1366-1', 'Gaia DR2 3995918691799173248']",8.87,8.42,5.361,NaN,5.818,5.2,7.6,5.58,5.65,,98.43 pc,NaN,164d18m46.713s,24d08m34.0151s,System('HD 94834'),[Planet('HD 94834 b')],[]
857,HD 4917,Flags(),System('HD 4917'),K0III/IV,,K,0,III,4802.0 K,5.01 R_s,,1.32 M_s,NaN,"['HIP 3975', 'Gaia DR2 2376225982619175424', 'TYC 5272-289-1']",,,5.707,,6.25,5.61,8.03,,,,205.45 pc,NaN,12d46m34.1625s,-12d55m39.3704s,System('HD 4917'),[Planet('HD 4917 b')],[]
990,HIP 67851,Flags(),System('HIP 67851'),K0III,,K,0,III,4805.0 K,5.87 R_s,,1.3 M_s,-0.03,"['HD 121056', 'HR 5224', 'Gliese 532.1', 'CD-34 9223', 'SAO 204963', 'TYC 7287-1874-1', 'Gaia DR2 6169943210465504384', 'GJ 532.1']",,7.21,3.81,,4.48,3.751,6.17,,,,66.0 pc,NaN,208d28m00.9295s,-35d18m51.7033s,System('HIP 67851'),"[Planet('HIP 67851 b'), Planet('HIP 67851 c')]",[]
2,14 And,Flags(),System('14 And'),K0III,,K,0,III,4813.0 K,11.0 R_s,,2.2 M_s,-0.24,"['14 Andromedae', 'HD 221345', 'HIP 116076', 'TYC 3231-323-1', 'HR 8930', 'BD+38 5023', '2MASS J23311742+3914102', 'Veritate', 'Gaia DR2 1920113512486282240']",,6.24,2.608,4.1,3.019,2.331,5.22,,,,79.2 pc,NaN,352d49m21.2019s,39d14m10.3092s,System('14 And'),[Planet('14 And b')],[]
743,HD 219415,Flags(),System('HD 219415'),K0 III,,K,0,III,4820.0 K,2.9 R_s,,1.0 M_s,-0.04,"['TYC 4006-629-1', 'SAO 35261', 'BD+55 2926', '2MASS J23145382+5643491', 'GSC 04006-00629', 'Gaia DR2 2009255593080688640']",,9.9,6.532,,7.023,6.421,8.91,,,,166.0 pc,NaN,348d43m27.3045s,56d43m49.1686s,System('HD 219415'),[Planet('HD 219415 b')],[]
225,gamma Libra,Flags(),System('gamma Libra'),K0III,,K,0,III,4822.0 K,11.1 R_s,,1.47 M_s,-0.3,"['gam Lib', 'HD 138905', 'HIP 76333', 'Gaia DR2 6265374394490149248', 'Zubenelhakrabi', 'GJ 3912', 'TYC 5608-1381-1']",,,1.595,2.893,2.129,1.524,3.91,,,,47.43 pc,NaN,233d52m53.682s,-14d47m22.3278s,System('gamma Libra'),"[Planet('gamma Libra b'), Planet('gamma Librai c')]",[]
457,HD 102329,"Flags(timated magU', 'Estimated magL', 'Estimated magM')",System('HD 102329'),K0,,K,0,III,4830.0 K,6.3 R_s,,1.3 M_s,0.3,"['HIP 57467', 'TYC 275-243-1', 'BD+04 2526', '2MASS J11464664+0328273', 'SAO 119043', 'EPIC 201690230', 'Gaia DR2 3895948101012579456']",9.16,8.93,5.526,NaN,6.049,5.402,7.89,5.87,5.94,,229.0 pc,NaN,176d41m39.675s,3d28m27.4582s,System('HD 102329'),"[Planet('HD 102329 b'), Planet('HD 102329 c')]",[]
865,HD 5583,"Flags(timated magU', 'Estimated magL', 'Estimated magM')",System('HD 5583'),K0,7.4 Gyr,K,0,III,4830.0 K,9.09 R_s,,1.01 M_s,-0.5,"['TYC 2285-548-1', 'BD+34 154', '2MASS J00575670+3459080', 'SAO 54296', 'Gaia DR2 363012289421389056']",8.87,8.54,5.34,NaN,5.813,5.221,7.6,5.58,5.65,,222.0 pc,NaN,14d29m10.731s,34d59m07.8994s,System('HD 5583'),[Planet('HD 5583 b')],[]
2469,Kepler-56,"Flags(timated magI', 'Estimated magM', 'Estimated magU', 'Estimated magL', 'Estimated magV', 'Estimated magN', 'Estimated magB')",System('Kepler-56'),NaN,3.5 Gyr,K,0,III,4840.0 K,4.22 R_s,,1.32 M_s,0.2,"['KOI-1241', 'KIC 6448890', '2MASS J19350200+4152187', 'Gaia DR2 2077617930392844800']",,,10.33,,10.813,10.227,,,,,936.944 pc,NaN,293d45m30.0195s,41d52m18.6917s,System('Kepler-56'),"[Planet('Kepler-56 b'), Planet('Kepler-56 c'), Planet('Kepler-56 d')]",[]
794,HD 2952,Flags(),System('HD 2952'),K0III,,K,0,III,4844.0 K,12.02 R_s,,2.5 M_s,0,"['HR 135', 'TYC 3658-583-1', 'HIP 2611', 'Gaia DR2 418206501834841600']",,6.961,3.779,,4.264,3.629,5.93,,,,115.0 pc,NaN,8d17m35.9175s,54d53m41.9464s,System('HD 2952'),[Planet('HD 2952 b')],[]
49,8 Ursae Minoris,"Flags(timated magU', 'Estimated magL', 'Estimated magM')",System('8 Ursae Minoris'),K0,,K,0,III,4847.4 K,9.9 R_s,,1.8 M_s,-0.03,"['HD 133086', 'HIP 73136', 'TYC 4417-267-1', 'BD+75 547', 'PPM 8785', 'WDS J14568+7454A', '2MASS J14564834+7454032', 'Gaia DR2 1700658653802527104', 'Baekdu']",8.113,7.817,4.749,NaN,5.069,4.515,6.843,4.823,4.893,,159.1 pc,NaN,224d12m05.304s,74d54m03.3212s,System('8 Ursae Minoris'),[Planet('8 Ursae Minoris b')],[]
866,HD 5608,Flags(),System('HD 5608'),K0IV,,K,0,IV,4854.0 K,5.5 R_s,,1.55 M_s,0.06,"['HIP 4552', 'TYC 2285-553-1', 'SAO 54306', 'HR 275', 'BD+33 140', '2MASS J00581422+3357031', 'Gaia DR2 362706006713454208']",,6.99,3.88,,4.478,3.826,5.999,,,,56.4 pc,NaN,14d33m33.2839s,33d57m03.1843s,System('HD 5608'),[Planet('HD 5608 b')],[]
713,HD 208897,"Flags(timated magU', 'Estimated magL', 'Estimated magM', 'Estimated magB')",System('HD 208897'),K0,,K,0,III,4860.0 K,4.98 R_s,,1.25 M_s,0.21,"['HIP 108513', 'Gaia DR2 1779772947826839808', 'TYC 1687-51-1']",7.78,7.33,4.39,NaN,4.74,4.198,6.51,4.49,4.56,,64.68 pc,NaN,329d44m55.374s,19d01m13.088s,System('HD 208897'),[Planet('HD 208897 b')],[]
3090,nu Oct A,Flags(),System('nu Oct'),K0III,3.0 Gyr,K,0,III,4860.0 K,5.81 R_s,,1.61 M_s,0.18,"['Nu Octantis A', 'ν Oct A']",,,,,,,3.743,,,,22.1 pc,NaN,NaN,NaN,Binary('nu Oct'),[Planet('Nu Oct A b')],[]
809,HD 33844,Flags(),System('HD 33844'),K0 III,1.88 Gyr,K,0,III,4861.0 K,5.29 R_s,,1.78 M_s,0.27,"['HIP 24275', 'TYC 5342-401-1', 'SAO 150228', 'BD-15 971', '2MASS J05123609-1457039', 'Gaia DR2 2986593268342544768']",,8.33,5.132,,5.574,4.945,7.29,,,,100.9 pc,NaN,78d09m01.5145s,-14d57m04.0084s,System('HD 33844'),"[Planet('HD 33844 b'), Planet('HD 33844 c')]",[]
