,right_ascension,altnames,list,declination,distance,child_stars_binaries,epoch,name,all_children,flags
3103,268d18m15s,,,37d12m42s,485.0 pc,[Binary('TrES-4')],,TrES-4,[Binary('TrES-4')],Flags()
3104,305d13m18.7245s,,,59d26m55.5744s,360.0 pc,[Star('TrES-5')],,TrES-5,[Star('TrES-5')],Flags()
3105,271d20m30s,,,2d03m45s,623.0 pc,[Star('TYC 0434-04538-1')],,TYC 0434-04538-1,[Star('TYC 0434-04538-1')],Flags()
3106,154d16m40.14s,,,19d33m30.4383s,759.0 pc,[Star('TYC 1422-614-1')],,TYC 1422-614-1,[Star('TYC 1422-614-1')],Flags()
3107,45d34m56.793s,,,49d44m38.9798s,497.41 pc,[Star('TYC 3318-01333-1')],,TYC 3318-01333-1,[Star('TYC 3318-01333-1')],Flags()
3108,12d53m14.4735s,,,58d25m34.2446s,481.0 pc,[Star('TYC 3667-1280-1')],,TYC 3667-1280-1,[Star('TYC 3667-1280-1')],Flags()
3109,343d52m18.468s,,,62d14m20.8889s,700.0 pc,[Star('TYC 4282-00605-1')],,TYC 4282-00605-1,[Star('TYC 4282-00605-1')],Flags()
3110,201d18m01.89s,,,-64d56m20.6881s,94.6 pc,[Star('TYC 8998-760-1')],,TYC 8998-760-1,[Star('TYC 8998-760-1')],Flags()
3111,321d21m52.3485s,,,-81d38m27.6921s,26.7 pc,[Star('TYC 9486-927-1')],,TYC 9486-927-1,[Star('TYC 9486-927-1')],Flags()
3112,266d39m14.7s,,,-29d12m40.9s,6300.0 pc,[Star('UKIRT-2017-BLG-001L')],,UKIRT-2017-BLG-001L,[Star('UKIRT-2017-BLG-001L')],Flags()
3113,24d12m00s,,,41d24m38s,13.47 pc,[Binary('Upsilon Andromedae')],,Upsilon Andromedae,[Binary('Upsilon Andromedae')],Flags()
3114,239d06m13.7085s,,,-25d41m20.2244s,141.0 pc,[Star('USco1556 A')],,USco1556 A,[Star('USco1556 A')],Flags()
3115,245d22m23.2125s,,,-25d29m43.1383s,138.0 pc,[Star('USco1621 A')],,USco1621 A,[Star('USco1621 A')],Flags()
3116,241d28m31.1205s,,,-18d18m44.3804s,145.0 pc,[Star('UScoCTIO 108')],,UScoCTIO 108,[Star('UScoCTIO 108')],Flags()
3117,53d52m15s,,,-25d44m22s,239.6 pc,[Star('UZ For (AB)')],,UZ For (AB),[Star('UZ For (AB)')],Flags()
3118,61d19m53.868s,,,20d09m25.5635s,108.5 pc,[Star('V1298 Tau')],,V1298 Tau,[Star('V1298 Tau')],Flags()
3119,331d03m01.566s,,,26d25m07.8205s,1400.0 pc,[Star('V391 Peg')],,V391 Peg,[Star('V391 Peg')],Flags()
3120,68d17m30.4485s,,,24d33m43.2558s,131.0 pc,[Star('V830 Tau')],,V830 Tau,[Star('V830 Tau')],Flags()
3121,194d00m28.83s,,,-12d57m23.99s,12.7 pc,[Binary('VHS 1256-1257')],,VHS 1256-1257,[Binary('VHS 1256-1257')],Flags()
3122,68d57m34.953s,,,-64d01m37.3327s,368.283 pc,[Star('WASP-100')],,WASP-100,[Star('WASP-100')],Flags()
3123,98d21m04.008s,,,-23d29m10.2969s,202.4 pc,[Star('WASP-101')],,WASP-101,[Star('WASP-101')],Flags()
3124,336d27m51.705s,,,15d51m24.2708s,543.685 pc,[Star('WASP-102')],,WASP-102,[Star('WASP-102')],Flags()
3125,249d18m53.6295s,,,7d11m00.119s,470.0 pc,[Star('WASP-103')],,WASP-103,[Star('WASP-103')],Flags()
3126,160d36m09.03s,,,7d26m06.2946s,143.0 pc,[Star('WASP-104')],,WASP-104,[Star('WASP-104')],Flags()
3127,24d10m05.2875s,,,-50d20m28s,252.519 pc,[Star('WASP-105')],,WASP-105,[Star('WASP-105')],Flags()
3128,166d25m47.0445s,,,-5d04m45.9413s,283.0 pc,[Star('WASP-106')],,WASP-106,[Star('WASP-106')],Flags()
3129,188d23m15s,,,-10d08m46s,64.7 pc,[Star('WASP-107')],,WASP-107,[Star('WASP-107')],Flags()
3130,195d49m40.773s,,,-49d38m22.8319s,220.0 pc,[Star('WASP-108')],,WASP-108,[Star('WASP-108')],Flags()
3131,232d03m18.321s,,,-16d24m38.6606s,330.0 pc,[Star('WASP-109')],,WASP-109,[Star('WASP-109')],Flags()
3132,348d59m34.5075s,,,31d27m46.2947s,90.0 pc,[Star('WASP-10')],,WASP-10,[Star('WASP-10')],Flags()
3133,305d52m21.6555s,,,-44d03m30.5098s,320.0 pc,[Star('WASP-110')],,WASP-110,[Star('WASP-110')],Flags()
3134,328d46m03.642s,,,-22d36m45.2925s,210.0 pc,[Star('WASP-111')],,WASP-111,[Star('WASP-111')],Flags()
3135,339d29m21.5655s,,,-35d09m14.3543s,450.0 pc,[Star('WASP-112')],,WASP-112,[Star('WASP-112')],Flags()
3136,224d52m22.17s,,,46d57m36.4801s,360.0 pc,[Star('WASP-113')],,WASP-113,[Star('WASP-113')],Flags()
3137,327d39m56.5935s,,,10d27m46.7111s,460.0 pc,[Star('WASP-114')],,WASP-114,[Star('WASP-114')],Flags()
3138,36d46m31.458s,,,-50d17m04.3122s,158.685 pc,[Star('WASP-117')],,WASP-117,[Star('WASP-117')],Flags()
3139,19d33m02.0715s,,,2d42m10.2512s,250.0 pc,[Star('WASP-118')],,WASP-118,[Star('WASP-118')],Flags()
3140,55d56m00.3195s,,,-65d11m37.8644s,333.0 pc,[Star('WASP-119')],,WASP-119,[Star('WASP-119')],Flags()
3141,47d22m15s,,,30d40m25s,125.1 pc,[Binary('WASP-11')],,WASP-11,[Binary('WASP-11')],Flags()
3142,62d36m57.8385s,,,-45d53m53.5754s,385.401 pc,[Star('WASP-120')],,WASP-120,[Star('WASP-120')],Flags()
3143,107d36m00.909s,,,-39d05m50.5705s,270.0 pc,[Star('WASP-121')],,WASP-121,[Star('WASP-121')],Flags()
3144,108d18m05.3085s,,,-42d24m35.1153s,251.934 pc,[Star('WASP-122')],,WASP-122,[Star('WASP-122')],Flags()
3145,289d28m45.474s,,,-32d51m35.9549s,199.053 pc,[Star('WASP-123')],,WASP-123,[Star('WASP-123')],Flags()
3146,332d42m51.627s,,,-30d44m58.7628s,433.0 pc,[Star('WASP-124')],,WASP-124,[Star('WASP-124')],Flags()
3147,63d22m26.1825s,,,-69d13m36.5617s,234.0 pc,[Star('WASP-126')],,WASP-126,[Star('WASP-126')],Flags()
3148,160d33m31.2525s,,,-3d50m06.2598s,160.2 pc,[Star('WASP-127')],,WASP-127,[Star('WASP-127')],Flags()
3149,176d17m56.3415s,,,-42d03m50.2223s,246.0 pc,[Star('WASP-129')],,WASP-129,[Star('WASP-129')],Flags()
3150,97d38m15s,,,29d40m20s,250.0 pc,[Binary('WASP-12')],,WASP-12,[Binary('WASP-12')],Flags()
3151,203d06m21.54s,,,-42d31m29s,180.0 pc,[Star('WASP-130')],,WASP-130,[Star('WASP-130')],Flags()
3152,210d11m36.6705s,,,-30d35m00.8376s,250.0 pc,[Star('WASP-131')],,WASP-131,[Star('WASP-131')],Flags()
3153,217d36m32.838s,,,-46d50m27s,120.0 pc,[Star('WASP-132')],,WASP-132,[Star('WASP-132')],Flags()
3154,314d34m31.344s,,,-35d47m47.7129s,547.0 pc,[Star('WASP-133')],,WASP-133,[Star('WASP-133')],Flags()
3155,267d17m05.9085s,,,29d52m44.7415s,300.0 pc,[Star('WASP-135')],,WASP-135,[Star('WASP-135')],Flags()
