,spectral_type,temp,metallicity,altnames,mass,magUltraviolet,magBlue,magH_nearinfared,magInfared,magJ_nearinfared,magK_nearinfared,magVisual,magL_nq_midinfared,magM_midinfared,magN_midinfared,distance,periastron,right_ascension,declination,parent_obj,child_obj,list,planet1type,planet2type,planet3type,planet4type,planet5type,planet6type,planet7type,planet8type,planet9type,proper,flags,system,radius,age,hip,hd,hr,gl
57,G2 V,5790.0 K,0.2,"['alf Cen A', 'α Cen A', 'α Centauri A', 'Alpha-1 Centauri', 'alf01 Cen', 'α1 Cen', 'α1 Centauri', 'Rigil Kentaurus A', 'Rigil Kent A', 'Toliman A', 'Bungula A', 'Gliese 559 A', 'GJ 559 A', 'HR 5459', 'HD 128620', 'HIP 71683', 'TYC 9007-5849-1', 'CD-60 5293 A', 'CPD-60 5483 A', 'WDS J14396-6050 A', 'RHD 1 A']",1.1 M_s,0.96,0.72,-1.38,,-1.15,-1.49,0.01,,,,1.295 pc,,,,Binary('Alpha Centauri'),[],[],,,,,,,,,,Alpha Centauri A,Flags(),System('Alpha Centauri'),1.227 R_s,,1683.0,28620.0,459.0,GJ 559 A
58,K1 V,5260.0 K,0.23,"['alf Cen B', 'α Cen B', 'α Centauri B', 'Alpha-2 Centauri', 'alf02 Cen', 'α2 Cen', 'α2 Centauri', 'Rigil Kentaurus B', 'Rigil Kent B', 'Toliman B', 'Bungula B', 'Gliese 559 B', 'GJ 559 B', 'HR 5460', 'HD 128621', 'HIP 71681', 'TYC 9007-5848-1', 'WDS J14396-6050 B', 'RHD 1 B']",0.907 M_s,2.89,2.21,-0.49,,-0.01,-0.6,1.33,,,,1.295 pc,,,,Binary('Alpha Centauri'),"[Planet('Alpha Centauri B b'), Planet('Alpha Centauri B c')]",[],Warm Super-Earth,Cold Super-Earth,,,,,,,,Alpha Centauri B,Flags(),System('Alpha Centauri'),0.865 R_s,,1681.0,28621.0,460.0,GJ 559 B
59,M5.5V,2900.0 K,,"['α Centauri C', 'GL 551', 'HIP 70890', 'Proxima']",0.12 M_s,,,,,,,,,,,1.295 pc,,,,Binary('Alpha Centauri'),"[Planet('Proxima Centauri b'), Planet('Proxima Centauri c'), Planet('Proxima Centauri d')]",[],Cold Super-Earth,Cold Super-Earth,Cold Super-Earth,,,,,,,Proxima Centauri,Flags(),System('Alpha Centauri'),0.141 R_s,,890.0,,,Gl 551
60,M1VE,3700.0 K,,"['HD 197481', 'HIP 102409', 'Gaia DR2 6794047652729201024', 'TYC 7457-641-1', 'GJ 803']",0.5 M_s,,,4.831,6.59,5.436,4.529,8.81,,,,9.79 pc,,311d17m22.9845s,-31d20m27.2417s,System('AU Mic'),[Planet('AU Mic b')],[],Cold Jupiter,,,,,,,,,AU Mic,Flags(),System('AU Mic'),0.75 R_s,,2409.0,97481.0,,GJ 803
61,K2,4425.0 K,0.1,[],1.03 M_s,,,,,,,9.45,,,,292.8 pc,,261d29m00s,2d05m27s,System('BD+02.3313'),[Planet('BD+02.3313 b')],[],Cold Jupiter,,,,,,,,,BD+02.3313,Flags(),System('BD+02.3313'),8.47 R_s,,,,,
62,,4095.0 K,-0.71,"['TYC 276-507-1', 'Gaia DR2 3895649725336884736']",1.14 M_s,,10.79,6.186,,6.96,6.021,9.58,,,,1106.9 pc,,177d33m53.289s,2d45m36.4417s,System('BD+03 2562'),[Planet('BD+03 2562 b')],[],Warm Jupiter,,,,,,,,,BD+03 2562,Flags(),System('BD+03 2562'),32.35 R_s,5.25 Gyr,,,,
63,K3V,4746.0 K,-0.07,"['HIP 49067', 'TYC 5480-20-1', 'SAO 137286', '2MASS J10004775-0931001', 'Gaia DR2 3770419611540574080']",0.74 M_s,,10.94,7.498,,7.96,7.323,9.86,,,,42.5 pc,,150d11m55.8052s,-9d31m00.034s,System('BD-08 2823'),"[Planet('BD-08 2823 b'), Planet('BD-08 2823 c')]",[],None Neptune,None Jupiter,,,,,,,,BD-08 2823,Flags(),System('BD-08 2823'),,4.5 Gyr,9067.0,,,
64,K3.0 V,5393.0 K,0.382,"['TYC 5503-946-1', '2MASS J10582880-1046133', 'Gaia DR2 3758629479636689536']",0.85 M_s,,10.88,8.3,9.19,8.61,8.124,10.01,,,,65.19 pc,,164d37m11.697s,-10d46m13.3917s,System('BD-10 3166'),[Planet('BD-10 3166 b')],[],Warm Jupiter,,,,,,,,,BD-10 3166,Flags(),System('BD-10 3166'),0.81 R_s,1.84 Gyr,,,,
65,K7V,4550.0 K,-0.35,"['HIP 90979', 'Gaia DR2 4154598526336121600', 'GJ 717', 'TYC 5699-2129-1']",0.65 M_s,,11.21,7.031,8.54,7.651,6.867,9.99,,,,27.3 pc,,278d22m12.483s,-11d38m09.7218s,System('BD-11 4672'),"[Planet('BD-11 4672 b'), Planet('BD-11 4672 c')]",[],Cold Jupiter,Cold Neptune,,,,,,,,BD-11 4672,Flags(),System('BD-11 4672'),0.64 R_s,,979.0,,,GJ 717
66,K2V,5008.0 K,0.1,"['BD14 4559', 'HIP 104780', 'TYC 1117-615-1', '2MASS J21133598+1441218', 'Solaris', 'Gaia DR2 1759623813132980864']",0.86 M_s,,10.66,7.455,8.6,7.882,7.336,9.66,,,,48.36 pc,,318d23m59.8714s,14d41m21.7994s,System('BD+14 4559'),[Planet('BD+14 4559 b')],[],None Jupiter,,,,,,,,,BD+14 4559,Flags(),System('BD+14 4559'),,,4780.0,,,
67,,4649.0 K,-0.22,"['TYC 870-204-1', '2MASS J11455572+1436589', 'Gaia DR2 3924009634910406912']",1.08 M_s,,11.3,7.862,,8.372,7.718,10.31,,,,610.0 pc,,176d28m55.707s,14d36m58.9267s,System('BD+15 2375'),[Planet('BD+15 2375 b')],[],Warm Jupiter,,,,,,,,,BD+15 2375,Flags(),System('BD+15 2375'),8.95 R_s,7.4 Gyr,,,,
68,K0,4796.0 K,0.28,"['HIP 78407', 'TYC 1503-1050-1', 'SAO 101867', '2MASS J16002294+1532491', 'Gaia DR2 1193071962699902336']",1.1 M_s,,10.12,6.664,,7.154,6.525,9.05,,,,508.0 pc,,240d05m44.074s,15d32m48.9291s,System('BD+15 2940'),[Planet('BD+15 2940 b')],[],Warm Jupiter,,,,,,,,,BD+15 2940,Flags(),System('BD+15 2940'),14.7 R_s,7.1 Gyr,8407.0,,,
69,K5V,4714.0 K,-0.03,"['HIP 2247', 'TYC 5840-482-1', 'SAO 147293', '2MASS J00283433-1613343', 'Gaia DR2 2367734656180397952', 'Felixvarela']",0.74 M_s,,10.77,7.027,,7.574,6.914,9.62,,,,35.7 pc,,7d08m34.5981s,-16d13m34.8458s,System('BD-17 63'),[Planet('BD-17 63 b')],[],Cold Jupiter,,,,,,,,,BD-17 63,Flags(),System('BD-17 63'),0.69 R_s,4.3 Gyr,247.0,,,
70,K5Ve,4410.0 K,0.3,"['V429 Gem', 'V429 Geminorum', '2MASS J07234358+2024588', 'TYC 1355-214-1', '1SWASP J072343.59+202458.6', 'Gaia DR2 3363049071685181056']",0.63 M_s,,11.08,7.032,8.522,7.643,6.879,10.001,,,,25.4 pc,,110d55m53.838s,20d24m58.6545s,System('BD+20 1790'),[Planet('BD+20 1790 b')],[],None Jupiter,,,,,,,,,BD+20 1790,Flags(),System('BD+20 1790'),,0.08 Gyr,,,,
71,K2II,4137.0 K,-1.0,"['BD20 2457', 'TYC 1422-790-1', '2MASS J10164485+1953290', 'Gaia DR2 625137162857354880']",2.8 M_s,,10.99,6.606,,7.299,6.42,9.74,,,,2558.585886905645 pc,,154d11m12.9525s,19d53m29.0096s,System('BD+20 2457'),"[Planet('BD+20 2457 b'), Planet('BD+20 2457 c')]",[],None Jupiter,None Jupiter,,,,,,,,BD+20 2457,Flags(timated Distance'),System('BD+20 2457'),,,,,,
72,K5 III,4296.0 K,-0.46,"['TYC 1211-603-1', 'SAO 74893', '2MASS J01434087+2100191', 'GSC 01211-00603', 'Gaia DR2 96530596864007552']",0.8 M_s,,10.72,6.337,,7.003,6.169,9.367,,,,1383.9 pc,,25d55m13.14s,21d00m19.0277s,System('BD+20 274'),[Planet('BD+20 274 b')],[],Warm Jupiter,,,,,,,,,BD+20 274,Flags(),System('BD+20 274'),17.3 R_s,,,,,
73,G,5766.0 K,-0.15,"['K2-56', 'EPIC 210848071', 'TYC 1242-608-1', '2MASS J03343623+2035574', 'Gaia DR2 58200934326315136']",0.961 M_s,,11.728,9.432,,9.77,9.368,11.038,,,,173.0 pc,,53d39m03.444s,20d35m57.2697s,System('BD+20 594'),[Planet('BD+20 594 b')],[],Cold Neptune,,,,,,,,,BD+20 594,Flags(),System('BD+20 594'),0.928 R_s,3.34 Gyr,,,,
74,K7,4748.0 K,0.02,"['HIP 44387', 'TYC 1953-1518-1', 'Gaia DR2 691524682806651776']",0.76 M_s,,10.87,7.437,8.6,7.912,7.336,9.76,,,,41.2 pc,,135d37m39.6285s,25d53m21.9299s,System('BD+26 1888'),[Planet('BD+26 1888 b')],[],None Jupiter,,,,,,,,,BD+26 1888,Flags(),System('BD+26 1888'),,,4387.0,,,
75,K0III,4414.0 K,-0.2,"['TYC 3304-323-1', 'SAO 38269', '2MASS J02425045+4935130', 'Gaia DR2 438899345022759424']",0.74 M_s,,10.35,6.077,,6.704,5.904,9.139,,,,892.1 pc,,40d42m36.9645s,49d35m13.0796s,System('BD+48 738'),[Planet('BD+48 738 b')],[],Cold Jupiter,,,,,,,,,BD+48 738,Flags(),System('BD+48 738'),11.0 R_s,,,,,
76,K3III,4534.0 K,-0.13,"['HIP 12684', 'Gaia DR2 438444868763388800', 'TYC 3304-90-1']",1.09 M_s,,,5.791,,6.385,5.645,8.699,,,,678.94 pc,,40d44m33.273s,48d55m48.2258s,System('BD+48 740'),[Planet('BD+48 740 b')],[],Cold Jupiter,,,,,,,,,BD+48 740,Flags(),System('BD+48 740'),10.33 R_s,,2684.0,,,
77,K0,4943.0 K,-0.19,"['GSC 03318-01515', 'TYC 3318-1515-1', '2MASS J03023372+4943480', 'Gaia DR2 439327501725338752']",1.52 M_s,,10.51,6.729,,7.246,6.571,9.38,,,,447.6 pc,,45d38m26.043s,49d43m47.9632s,System('BD+49 828'),[Planet('BD+49 828 b')],[],Cold Jupiter,,,,,,,,,BD+49 828,Flags(),System('BD+49 828'),7.6 R_s,2.3 Gyr,,,,
78,K4III,4092.1 K,-0.29,"['bet Cnc', 'β Cnc', 'β Cancri', '17 Cnc', '17 Cancri', 'Al Tarf', 'HD 69267', 'HIP 40526', 'TYC 794-1622-1', 'SAO 116569', 'HR 3249', 'BD+09 1917', '2MASS J08163090+0911080', 'Gaia DR2 3098404220677760512', 'Altarf', 'Tarf']",1.7 M_s,,5.0,0.28,1.62,1.06,0.14,3.52,,,,93.0 pc,,124d07m43.8152s,9d11m07.9579s,System('beta Cancri'),[Planet('beta Cancri b')],[],Warm Jupiter,,,,,,,,,beta Cancri,Flags(),System('beta Cancri'),47.2 R_s,1.85 Gyr,526.0,9267.0,249.0,
79,A5V,,,"['bet Pic', 'HD 39060', 'HIP 27321', 'TYC 8099-1392-1', 'GJ 219', 'GJ 219.0', 'Gaia DR2 4792774797545105664']",1.76 M_s,,4.03,3.544,3.675,3.669,3.526,3.85,,,,19.75 pc,,86d49m16.314s,-51d03m59.4411s,System('beta Pic'),"[Planet('beta Pic b'), Planet('beta Pic c')]",[],,None Jupiter,,,,,,,,beta Pic,Flags(lculated Temperature'),System('beta Pic'),,,7321.0,9060.0,,GJ 219
80,K4IIIvar,4126.0 K,-0.27,"['HD 131873', 'beta UMi', 'bet UMi', 'β Ursae Minoris', 'β UMi', '7 Ursae Minoris', '7 UMi', 'Kochab', 'HIP 72607', 'TYC 4416-1799-1', 'SAO 8102', 'HR 5563', 'BD+74 595', '2MASS J14504235+7409199']",1.4 M_s,,3.55,,0.21,,,2.08,,,,40.14 pc,,222d40m34.887s,74d09m19.8142s,System('beta Ursae Minoris'),[Planet('beta Ursae Minoris b')],[],Warm Jupiter,,,,,,,,,beta Ursae Minoris,Flags(),System('beta Ursae Minoris'),38.3 R_s,2.95 Gyr,2607.0,31873.0,563.0,
81,T9.5,540.0 K,,['CFBDSIR J145829+101343'],0.02 M_s,,,,,,,,,,,23.1 pc,,224d37m15s,10d13m43s,System('CFBDS 1458'),[Planet('CFBDS 1458 b')],[],None Jupiter,,,,,,,,,CFBDS 1458,Flags(),System('CFBDS 1458'),,,,,,
82,M3.25,3840.0 K,,['Gaia DR2 5201175987817179136'],0.35 M_s,,,11.317,15.78,12.674,10.703,,,,,191.048 pc,,166d37m11.439s,-77d37m33.1444s,System('CHXR 73'),[Planet('CHXR 73 b')],[],None Jupiter,,,,,,,,,CHXR 73,Flags(),System('CHXR 73'),,,,,,
83,K4IVe,,,"['CI Tauri', '2MASS J04335200+2250301', 'EPIC 247584113', 'Gaia DR2 145203159127518336']",0.8 M_s,14.97,15.09,8.43,,9.48,7.793,13.8,,,,158.7 pc,,68d28m00.216s,22d50m30.0937s,System('CI Tau'),[Planet('CI Tau b')],[],None Jupiter,,,,,,,,,CI Tau,Flags(lculated Temperature'),System('CI Tau'),,0.002 Gyr,,,,
84,K1V,5075.0 K,0.26,['Gaia DR2 4263752921128319616'],0.89 M_s,,16.676,11.929,13.64,12.567,11.782,15.216,,,,345.0 pc,,291d03m49.302s,0d44m46.0039s,System('CoRoT-10'),[Planet('CoRoT-10 b')],[],Cold Jupiter,,,,,,,,,CoRoT-10,Flags(),System('CoRoT-10'),0.79 R_s,,,,,
85,F6V,6440.0 K,-0.03,['Gaia DR2 4285511294172309504'],1.27 M_s,,13.73,11.416,,11.589,11.248,12.8,,,,560.0 pc,,280d41m14.2485s,5d56m15.6521s,System('CoRoT-11'),[Planet('CoRoT-11 b')],[],Warm Jupiter,,,,,,,,,CoRoT-11,Flags(),System('CoRoT-11'),1.37 R_s,,,,,
86,G2V,5675.0 K,0.16,['Gaia DR2 3107255598526406912'],1.078 M_s,,16.343,13.63,,14.02,13.56,15.515,,,,1150.0 pc,,100d45m56.4465s,-1d17m47.1435s,System('CoRoT-12'),[Planet('CoRoT-12 b')],[],Warm Jupiter,,,,,,,,,CoRoT-12,Flags(),System('CoRoT-12'),1.116 R_s,,,,,
87,G0V,5945.0 K,0.01,['Gaia DR2 3101974231859723776'],1.09 M_s,,15.33,13.406,14.19,13.71,13.38,15.04,,,,1310.0 pc,,102d43m16.089s,-5d05m11.1901s,System('CoRoT-13'),[Planet('CoRoT-13 b')],[],Warm Jupiter,,,,,,,,,CoRoT-13,Flags(),System('CoRoT-13'),1.01 R_s,,,,,
88,F9V,6035.0 K,0.05,['Gaia DR2 3101145195794755072'],1.13 M_s,,16.891,14.01,14.91,14.32,13.81,16.03,,,,1340.0 pc,,103d25m27.129s,-5d32m09.6828s,System('CoRoT-14'),[Planet('CoRoT-14 b')],[],Warm Jupiter,,,,,,,,,CoRoT-14,Flags(),System('CoRoT-14'),1.21 R_s,,,,,
89,G5V,5650.0 K,0.19,['Gaia DR2 4256135160951556480'],1.098 M_s,,17.85,12.98,14.57,13.496,12.85,16.03,,,,840.0 pc,,278d31m28.782s,-6d00m09.2447s,System('CoRoT-16'),[Planet('CoRoT-16 b')],[],Warm Jupiter,,,,,,,,,CoRoT-16,Flags(),System('CoRoT-16'),1.19 R_s,,,,,
90,G2V,5740.0 K,,['Gaia DR2 4255957040079935488'],1.04 M_s,,17.38,12.62,14.65,13.17,12.47,15.88,,,,920.0 pc,,278d41m57.3195s,-6d36m44.1119s,System('CoRoT-17'),[Planet('CoRoT-17 b')],[],Warm Jupiter,,,,,,,,,CoRoT-17,Flags(),System('CoRoT-17'),1.59 R_s,,,,,
91,G9V,5440.0 K,-0.1,['Gaia DR2 3120058170178779392'],0.95 M_s,,15.8,13.08,14.05,13.441,13.01,15.0,,,,870.0 pc,,98d10m20.6655s,-0d01m53.7256s,System('CoRoT-18'),[Planet('CoRoT-18 b')],[],Warm Jupiter,,,,,,,,,CoRoT-18,Flags(),System('CoRoT-18'),1.0 R_s,,,,,
92,F9V,6090.0 K,-0.02,['Gaia DR2 3120002649138831360'],1.21 M_s,,14.78,11.961,13.0,12.324,11.837,14.007,,,,800.0 pc,,97d02m00.879s,-0d10m14.5323s,System('CoRoT-19'),[Planet('CoRoT-19 b')],[],Warm Jupiter,,,,,,,,,CoRoT-19,Flags(),System('CoRoT-19'),1.65 R_s,,,,,
93,G0V,6298.0 K,-0.3,['Gaia DR2 3105507886130792448'],0.95 M_s,,,12.218,12.88,12.462,12.149,13.6,,,,460.0 pc,,102d04m47.586s,-3d06m07.7104s,System('CoRoT-1'),[Planet('CoRoT-1 b')],[],Warm Jupiter,,,,,,,,,CoRoT-1,Flags(),System('CoRoT-1'),1.11 R_s,,,,,
94,G2V,5880.0 K,0.14,"['2MASS J06305289+0013369', 'USNO-A2.0 0900-03054387', 'Gaia DR2 3120122805143587328']",1.14 M_s,,15.41,12.652,13.69,12.991,12.513,14.66,,,,864.0 pc,,97d43m13.5336s,0d13m36.8585s,System('CoRoT-20'),"[Planet('CoRoT-20 b'), Planet('CoRoT-20 c')]",[],Warm Jupiter,Cold Jupiter,,,,,,,,CoRoT-20,Flags(),System('CoRoT-20'),1.02 R_s,0.1 Gyr,,,,
95,FIV8,6200.0 K,,['Gaia DR2 3107471240236703104'],1.29 M_s,,16.66,13.98,14.99,14.34,13.81,15.84,,,,1398.8 pc,,101d03m09.453s,-0d17m56.987s,System('CoRoT-21'),[Planet('CoRoT-21 b')],[],Warm Jupiter,,,,,,,,,CoRoT-21,Flags(),System('CoRoT-21'),1.945 R_s,,,,,
96,G0IV,5939.0 K,0.17,"['2MASS 18424010+0613088', 'Gaia DR2 4285572454508522496']",1.099 M_s,,14.74,12.099,,12.414,11.988,13.944,,,,592.0 pc,,280d40m01.6695s,6d13m08.9834s,System('CoRoT-22'),[Planet('CoRoT-22 b')],[],Warm Neptune,,,,,,,,,CoRoT-22,Flags(),System('CoRoT-22'),1.136 R_s,3.3 Gyr,,,,
97,G0V,5900.0 K,0.05,['Gaia DR2 4283597937777249408'],1.14 M_s,,16.0,12.45,,12.944,12.36,15.63,,,,600.0 pc,,279d46m57.6075s,4d21m28.0346s,System('CoRoT-23'),[Planet('CoRoT-23 b')],[],Warm Jupiter,,,,,,,,,CoRoT-23,Flags(),System('CoRoT-23'),1.61 R_s,,,,,
98,K1V,4950.0 K,0.3,"['2MASS 06474141-0343094', 'Gaia DR2 3105404467618982272']",0.91 M_s,,,13.05,14.3,13.595,12.924,,,,,600.0 pc,,101d55m21.174s,-3d43m09.4837s,System('CoRoT-24'),"[Planet('CoRoT-24 b'), Planet('CoRoT-24 c')]",[],Warm Super-Earth,Warm Jupiter,,,,,,,,CoRoT-24,Flags(),System('CoRoT-24'),0.86 R_s,11.0 Gyr,,,,
99,F9V,6040.0 K,-0.01,"['2MASS J18423111+0630497', 'Gaia DR2 4285689616891369600']",1.09 M_s,15.93,15.806,12.99,,13.3,12.846,14.965,,,,1000.0 pc,,280d37m46.8s,6d30m49.7463s,System('CoRoT-25'),[Planet('CoRoT-25 b')],[],Warm Jupiter,,,,,,,,,CoRoT-25,Flags(),System('CoRoT-25'),1.19 R_s,,,,,
100,G5,5590.0 K,0.01,"['2MASS J18390012+0658112', 'Gaia DR2 4286437357841760000']",1.09 M_s,,16.839,13.358,,13.813,13.261,15.756,,,,1670.0 pc,,279d45m01.7775s,6d58m11.3304s,System('CoRoT-26'),[Planet('CoRoT-26 b')],[],Warm Jupiter,,,,,,,,,CoRoT-26,Flags(),System('CoRoT-26'),1.79 R_s,,,,,
101,G2,5900.0 K,0.1,"['2MASS 1183241962', 'Gaia DR2 4284721191974346752']",1.05 M_s,,,13.17,,13.571,12.98,,,,,1035.2 pc,,278d29m44.9895s,5d32m18.3232s,System('CoRoT-27'),[Planet('CoRoT-27 b')],[],Warm Jupiter,,,,,,,,,CoRoT-27,Flags(),System('CoRoT-27'),1.08 R_s,4.21 Gyr,,,,
102,G8/9IV,5150.0 K,0.15,"['2MASS J18344520+0534254', 'Gaia DR2 4284680029006075648']",1.01 M_s,,14.994,11.143,,11.601,11.032,13.775,,,,560.0 pc,,278d41m18.0495s,5d34m25.3913s,System('CoRoT-28'),[Planet('CoRoT-28 b')],[],Warm Jupiter,,,,,,,,,CoRoT-28,Flags(),System('CoRoT-28'),1.78 R_s,12.0 Gyr,,,,
103,K0V,5260.0 K,0.2,"['2MASS J18353650+0628467', 'Gaia DR2 4285073581136130560']",0.97 M_s,,16.705,13.12,,13.565,13.048,15.56,,,,765.0 pc,,278d54m07.506s,6d28m46.6756s,System('CoRoT-29'),[Planet('CoRoT-29 b')],[],Warm Jupiter,,,,,,,,,CoRoT-29,Flags(),System('CoRoT-29'),0.9 R_s,4.5 Gyr,,,,
104,G7V,5575.0 K,,['Gaia DR2 4287820848378092672'],0.97 M_s,,13.422,10.44,11.49,10.783,10.31,12.568,,,,300.0 pc,,291d46m37.416s,1d23m01.3575s,System('CoRoT-2'),[Planet('CoRoT-2 b')],[],Warm Jupiter,,,,,,,,,CoRoT-2,Flags(),System('CoRoT-2'),0.902 R_s,,,,,
105,G3V,5650.0 K,0.02,['Gaia DR2 4477300378701511296'],0.98 M_s,,,13.551,14.75,14.019,13.562,15.65,,,,960.0 pc,,277d36m04.2555s,6d50m09.3654s,System('CoRoT-30'),[Planet('CoRoT-30 b')],[],Warm Jupiter,,,,,,,,,CoRoT-30,Flags(),System('CoRoT-30'),0.91 R_s,,,,,
106,G2IV,5700.0 K,0.0,['Gaia DR2 3020494716521521152'],1.25 M_s,,,13.469,14.59,13.908,13.426,,,,,2190.0 pc,,94d49m14.5995s,-4d25m20.1611s,System('CoRoT-31'),[Planet('CoRoT-31 b')],[],Warm Jupiter,,,,,,,,,CoRoT-31,Flags(),System('CoRoT-31'),2.15 R_s,,,,,
107,F3V,6740.0 K,-0.02,['Gaia DR2 4263427117767106816'],1.37 M_s,,14.199,11.71,12.54,11.94,11.62,13.292,,,,680.0 pc,,292d03m18.963s,0d07m18.6143s,System('CoRoT-3'),[Planet('CoRoT-3 b')],[],Warm Jupiter,,,,,,,,,CoRoT-3,Flags(),System('CoRoT-3'),1.56 R_s,,,,,
108,F8V,6190.0 K,0.05,['Gaia DR2 3113201890547554432'],1.1 M_s,,,12.359,,12.619,12.29,13.7,,,,741.6 pc,,102d11m40.6995s,-0d40m21.9695s,System('CoRoT-4'),[Planet('CoRoT-4 b')],[],Warm Jupiter,,,,,,,,,CoRoT-4,Flags(),System('CoRoT-4'),1.15 R_s,,,,,
109,F9V,6100.0 K,-0.25,['Gaia DR2 3125611120515388800'],1.0 M_s,,14.67,12.61,13.29,12.871,12.546,14.0,,,,400.0 pc,,101d16m38.109s,0d48m54.9068s,System('CoRoT-5'),[Planet('CoRoT-5 b')],[],Warm Jupiter,,,,,,,,,CoRoT-5,Flags(),System('CoRoT-5'),1.186 R_s,,,,,
110,F5V,6090.0 K,-0.2,['Gaia DR2 4285684673395749120'],1.05 M_s,,14.68,12.228,,12.518,12.119,13.8,,,,657.2 pc,,281d04m21.1155s,6d39m47.5138s,System('CoRoT-6'),[Planet('CoRoT-6 b')],[],Warm Jupiter,,,,,,,,,CoRoT-6,Flags(),System('CoRoT-6'),1.025 R_s,,,,,
111,K0V,5313.0 K,0.03,"['Gaia DR2 3107267177757848576', 'TYC 4799-1733-1']",0.93 M_s,,12.78,9.88,10.87,10.301,9.806,11.73,,,,150.0 pc,,100d57m22.035s,-1d03m46.8257s,System('CoRoT-7'),"[Planet('CoRoT-7 b'), Planet('CoRoT-7 c')]",[],Warm Super-Earth,Warm Super-Earth,,,,,,,,CoRoT-7,Flags(),System('CoRoT-7'),0.87 R_s,,,,,
112,K1V,5080.0 K,0.3,['Gaia DR2 4287832775526476800'],0.88 M_s,,16.096,11.641,13.26,12.154,11.463,14.797,,,,380.0 pc,,291d35m18.639s,1d25m35.1781s,System('CoRoT-8'),[Planet('CoRoT-8 b')],[],Cold Jupiter,,,,,,,,,CoRoT-8,Flags(),System('CoRoT-8'),0.77 R_s,,,,,
113,G3V,5625.0 K,-0.01,['Gaia DR2 4285571629874670080'],0.99 M_s,,14.57,11.813,,12.175,11.688,13.46,,,,460.0 pc,,280d47m12.1515s,6d12m14.9129s,System('CoRoT-9'),[Planet('CoRoT-9 b')],[],Cold Jupiter,,,,,,,,,CoRoT-9,Flags(),System('CoRoT-9'),0.94 R_s,,,,,
114,G0VI,5970.0 K,0.0,[],1.08 M_s,,,12.25,,12.519,12.193,,,,,586.2 pc,,100d11m45s,9d15m27s,System('CoRoTID 223977153'),[Planet('CoRoTID 223977153 b')],[],Warm Jupiter,,,,,,,,,CoRoTID 223977153,Flags(),System('CoRoTID 223977153'),0.79 R_s,,,,,
115,K7,5150.0 K,,['Gaia DR2 5201360671411974912'],,,13.44,8.944,10.89,9.715,8.661,12.36,,,,165.0 pc,,166d02m16.4835s,-76d27m19.3269s,System('CT Cha'),[Planet('CT Cha B')],[],Hot Jupiter,,,,,,,,,CT Cha,Flags(),System('CT Cha'),,0.005 Gyr,,,,
116,,,,['Gaia DR2 1550299304833675392'],0.51 M_s,,,8.797,,9.392,8.555,,,,,30.55 pc,,201d43m19.071s,45d32m46.687s,System('DE CVn'),[Planet('DE CVn b')],[],None Jupiter,,,,,,,,,DE CVn,Flags(lculated Temperature'),System('DE CVn'),,,,,,
117,M0.5V,3840.0 K,,['Gaia DR2 151374202498079872'],0.4 M_s,,15.23,8.824,,9.767,8.178,13.71,,,,140.01 pc,,67d25m23.28s,26d32m58.1237s,System('DH Tau'),[Planet('DH Tau B')],[],Hot Jupiter,,,,,,,,,DH Tau,Flags(),System('DH Tau'),,,,,,
118,F8V,6196.0 K,,"['HD 38677', 'HIP 27305', 'TYC 5351-434-1', 'Gaia DR2 3011005587574818432']",1.21 M_s,,,6.746,,7.001,6.69,7.981,,,,62.0 pc,,86d46m34.0005s,-10d37m48.8282s,System('DMPP-1'),"[Planet('DMPP-1 b'), Planet('DMPP-1 c'), Planet('DMPP-1 d'), Planet('DMPP-1 e')]",[],Warm Jupiter,Warm Super-Earth,Warm Super-Earth,Warm Super-Earth,,,,,,DMPP-1,Flags(),System('DMPP-1'),1.26 R_s,,7305.0,8677.0,,
119,F5V,6500.0 K,,"['HD 11231', 'HIP 8501', 'TYC 7008-587-1', 'Gaia DR2 5017319806652067072']",1.44 M_s,,,7.482,,7.703,7.437,8.567,,,,134.0 pc,,27d24m28.3455s,-34d27m32.8726s,System('DMPP-2'),[Planet('DMPP-2 b')],[],Warm Jupiter,,,,,,,,,DMPP-2,Flags(),System('DMPP-2'),1.78 R_s,,501.0,1231.0,,
120,K0V,5138.0 K,0.18,"['HD 42936', 'HIP 28941']",0.87 M_s,,,7.193,,7.588,7.061,9.066,,,,48.9 pc,,91d37m30s,-72d30m46s,System('DMPP-3 A'),[Planet('DMPP-3 A b')],[],Warm Super-Earth,,,,,,,,,DMPP-3 A,Flags(),System('DMPP-3 A'),0.91 R_s,,8941.0,2936.0,,
121,AM Her,13500.0 K,,[],0.6 M_s,,,,,,,17.5,,,,400.0 pc,,,,Binary('DP Leo'),[],[],,,,,,,,,,DP Leo A,Flags(),System('DP Leo'),0.0144 R_s,,,,,
122,,3000.0 K,,[],0.09 M_s,,,,,,,,,,,400.0 pc,,,,Binary('DP Leo'),[],[],,,,,,,,,,DP Leo B,Flags(),System('DP Leo'),,,,,,
123,G6V,5428.0 K,0.0,"['HD 222259 A', 'HIP 116748 A']",1.01 M_s,,,6.759,,7.122,6.676,8.469,,,,44.12 pc,,354d54m45s,-69d11m45s,System('DS Tuc A'),[Planet('DS Tuc A b')],[],Warm Neptune,,,,,,,,,DS Tuc A,Flags(),System('DS Tuc A'),0.96 R_s,,16748.0,22259.0,,
